"Kod";"Nazwa";"Okresy";"Wynagrodzenie brutto";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
1200000;"MAŁOPOLSKIE";"1 kwartał";"ogółem";"2013";3774,12;"zł";"";
1200000;"MAŁOPOLSKIE";"1 kwartał";"ogółem";"2014";3902,40;"zł";"";
1200000;"MAŁOPOLSKIE";"1 kwartał";"ogółem";"2015";4103,62;"zł";"";
1200000;"MAŁOPOLSKIE";"1 kwartał";"ogółem";"2016";4272,77;"zł";"";
1200000;"MAŁOPOLSKIE";"1 kwartał";"ogółem";"2017";4486,54;"zł";"";
1200000;"MAŁOPOLSKIE";"1 kwartał";"ogółem";"2018";4796,37;"zł";"";
1200000;"MAŁOPOLSKIE";"1 kwartał";"ogółem";"2019";5173,45;"zł";"";
1200000;"MAŁOPOLSKIE";"1 kwartał";"ogółem";"2020";5642,31;"zł";"";
1200000;"MAŁOPOLSKIE";"1 kwartał";"ogółem";"2021";6079,40;"zł";"";
1200000;"MAŁOPOLSKIE";"1 kwartał";"ogółem";"2022";6777,59;"zł";"";
1200000;"MAŁOPOLSKIE";"2 kwartał";"ogółem";"2010";3200,28;"zł";"";
1200000;"MAŁOPOLSKIE";"2 kwartał";"ogółem";"2011";3398,24;"zł";"";
1200000;"MAŁOPOLSKIE";"2 kwartał";"ogółem";"2012";3581,54;"zł";"M";
1200000;"MAŁOPOLSKIE";"2 kwartał";"ogółem";"2013";3596,28;"zł";"";
1200000;"MAŁOPOLSKIE";"2 kwartał";"ogółem";"2014";3683,43;"zł";"";
1200000;"MAŁOPOLSKIE";"2 kwartał";"ogółem";"2015";3874,54;"zł";"";
1200000;"MAŁOPOLSKIE";"2 kwartał";"ogółem";"2016";4083,58;"zł";"";
1200000;"MAŁOPOLSKIE";"2 kwartał";"ogółem";"2017";4324,72;"zł";"";
1200000;"MAŁOPOLSKIE";"2 kwartał";"ogółem";"2018";4638,08;"zł";"";
1200000;"MAŁOPOLSKIE";"2 kwartał";"ogółem";"2019";5028,67;"zł";"";
1200000;"MAŁOPOLSKIE";"2 kwartał";"ogółem";"2020";5275,39;"zł";"";
1200000;"MAŁOPOLSKIE";"2 kwartał";"ogółem";"2021";5898,27;"zł";"";
1200000;"MAŁOPOLSKIE";"2 kwartał";"ogółem";"2022";6665,50;"zł";"";
1200000;"MAŁOPOLSKIE";"3 kwartał";"ogółem";"2010";3241,30;"zł";"";
1200000;"MAŁOPOLSKIE";"3 kwartał";"ogółem";"2011";3465,33;"zł";"";
1200000;"MAŁOPOLSKIE";"3 kwartał";"ogółem";"2012";3520,07;"zł";"M";
1200000;"MAŁOPOLSKIE";"3 kwartał";"ogółem";"2013";3643,99;"zł";"";
1200000;"MAŁOPOLSKIE";"3 kwartał";"ogółem";"2014";3775,80;"zł";"";
1200000;"MAŁOPOLSKIE";"3 kwartał";"ogółem";"2015";3938,30;"zł";"";
1200000;"MAŁOPOLSKIE";"3 kwartał";"ogółem";"2016";4145,74;"zł";"";
1200000;"MAŁOPOLSKIE";"3 kwartał";"ogółem";"2017";4415,87;"zł";"";
1200000;"MAŁOPOLSKIE";"3 kwartał";"ogółem";"2018";4707,11;"zł";"";
1200000;"MAŁOPOLSKIE";"3 kwartał";"ogółem";"2019";5155,70;"zł";"";
1200000;"MAŁOPOLSKIE";"3 kwartał";"ogółem";"2020";5545,18;"zł";"";
1200000;"MAŁOPOLSKIE";"3 kwartał";"ogółem";"2021";6085,01;"zł";"";
1200000;"MAŁOPOLSKIE";"3 kwartał";"ogółem";"2022";6971,33;"zł";"";
1200000;"MAŁOPOLSKIE";"4 kwartał";"ogółem";"2010";3400,12;"zł";"";
1200000;"MAŁOPOLSKIE";"4 kwartał";"ogółem";"2011";3533,29;"zł";"";
1200000;"MAŁOPOLSKIE";"4 kwartał";"ogółem";"2012";3632,63;"zł";"M";
1200000;"MAŁOPOLSKIE";"4 kwartał";"ogółem";"2013";3750,41;"zł";"";
1200000;"MAŁOPOLSKIE";"4 kwartał";"ogółem";"2014";3915,68;"zł";"";
1200000;"MAŁOPOLSKIE";"4 kwartał";"ogółem";"2015";4160,50;"zł";"";
1200000;"MAŁOPOLSKIE";"4 kwartał";"ogółem";"2016";4212,93;"zł";"";
1200000;"MAŁOPOLSKIE";"4 kwartał";"ogółem";"2017";4590,72;"zł";"";
1200000;"MAŁOPOLSKIE";"4 kwartał";"ogółem";"2018";4901,28;"zł";"";
1200000;"MAŁOPOLSKIE";"4 kwartał";"ogółem";"2019";5472,65;"zł";"";
1200000;"MAŁOPOLSKIE";"4 kwartał";"ogółem";"2020";5843,94;"zł";"";
1200000;"MAŁOPOLSKIE";"4 kwartał";"ogółem";"2021";6363,59;"zł";"";
1200000;"MAŁOPOLSKIE";"4 kwartał";"ogółem";"2022";;"zł";"n";
1400000;"MAZOWIECKIE";"1 kwartał";"ogółem";"2010";4526,81;"zł";"";
1400000;"MAZOWIECKIE";"1 kwartał";"ogółem";"2011";4727,98;"zł";"";
1400000;"MAZOWIECKIE";"1 kwartał";"ogółem";"2012";4802,96;"zł";"M";
1400000;"MAZOWIECKIE";"1 kwartał";"ogółem";"2013";4879,54;"zł";"";
1400000;"MAZOWIECKIE";"1 kwartał";"ogółem";"2014";5098,44;"zł";"";
1400000;"MAZOWIECKIE";"1 kwartał";"ogółem";"2015";5267,32;"zł";"";
1400000;"MAZOWIECKIE";"1 kwartał";"ogółem";"2016";5435,95;"zł";"";
1400000;"MAZOWIECKIE";"1 kwartał";"ogółem";"2017";5600,99;"zł";"";
1400000;"MAZOWIECKIE";"1 kwartał";"ogółem";"2018";5973,72;"zł";"";
1400000;"MAZOWIECKIE";"1 kwartał";"ogółem";"2019";6336,70;"zł";"";
1400000;"MAZOWIECKIE";"1 kwartał";"ogółem";"2020";6780,10;"zł";"";
1400000;"MAZOWIECKIE";"1 kwartał";"ogółem";"2021";7117,49;"zł";"";
1400000;"MAZOWIECKIE";"1 kwartał";"ogółem";"2022";7854,69;"zł";"";
1400000;"MAZOWIECKIE";"2 kwartał";"ogółem";"2010";4410,17;"zł";"";
1400000;"MAZOWIECKIE";"2 kwartał";"ogółem";"2011";4544,77;"zł";"";
1400000;"MAZOWIECKIE";"2 kwartał";"ogółem";"2012";4722,11;"zł";"M";
1400000;"MAZOWIECKIE";"2 kwartał";"ogółem";"2013";4735,92;"zł";"";
1400000;"MAZOWIECKIE";"2 kwartał";"ogółem";"2014";4924,09;"zł";"";
1400000;"MAZOWIECKIE";"2 kwartał";"ogółem";"2015";5036,68;"zł";"";
1400000;"MAZOWIECKIE";"2 kwartał";"ogółem";"2016";5215,26;"zł";"";
1400000;"MAZOWIECKIE";"2 kwartał";"ogółem";"2017";5459,95;"zł";"";
1400000;"MAZOWIECKIE";"2 kwartał";"ogółem";"2018";5817,31;"zł";"";
1400000;"MAZOWIECKIE";"2 kwartał";"ogółem";"2019";6191,57;"zł";"";
1400000;"MAZOWIECKIE";"2 kwartał";"ogółem";"2020";6375,59;"zł";"";
1400000;"MAZOWIECKIE";"2 kwartał";"ogółem";"2021";6899,43;"zł";"";
1400000;"MAZOWIECKIE";"2 kwartał";"ogółem";"2022";7726,04;"zł";"";
1400000;"MAZOWIECKIE";"3 kwartał";"ogółem";"2010";4262,55;"zł";"";
1400000;"MAZOWIECKIE";"3 kwartał";"ogółem";"2011";4523,87;"zł";"";
1400000;"MAZOWIECKIE";"3 kwartał";"ogółem";"2012";4571,83;"zł";"M";
1400000;"MAZOWIECKIE";"3 kwartał";"ogółem";"2013";4691,86;"zł";"";
1400000;"MAZOWIECKIE";"3 kwartał";"ogółem";"2014";4852,96;"zł";"";
1400000;"MAZOWIECKIE";"3 kwartał";"ogółem";"2015";5002,71;"zł";"";
1400000;"MAZOWIECKIE";"3 kwartał";"ogółem";"2016";5147,24;"zł";"";
1400000;"MAZOWIECKIE";"3 kwartał";"ogółem";"2017";5412,94;"zł";"";
1400000;"MAZOWIECKIE";"3 kwartał";"ogółem";"2018";5788,92;"zł";"";
1400000;"MAZOWIECKIE";"3 kwartał";"ogółem";"2019";6158,84;"zł";"";
1400000;"MAZOWIECKIE";"3 kwartał";"ogółem";"2020";6410,59;"zł";"";
1400000;"MAZOWIECKIE";"3 kwartał";"ogółem";"2021";6958,06;"zł";"";
1400000;"MAZOWIECKIE";"3 kwartał";"ogółem";"2022";7880,86;"zł";"";
1400000;"MAZOWIECKIE";"4 kwartał";"ogółem";"2010";4484,24;"zł";"";
1400000;"MAZOWIECKIE";"4 kwartał";"ogółem";"2011";4708,90;"zł";"";
1400000;"MAZOWIECKIE";"4 kwartał";"ogółem";"2012";4768,43;"zł";"M";
1400000;"MAZOWIECKIE";"4 kwartał";"ogółem";"2013";4939,61;"zł";"";
1400000;"MAZOWIECKIE";"4 kwartał";"ogółem";"2014";5047,50;"zł";"";
1400000;"MAZOWIECKIE";"4 kwartał";"ogółem";"2015";5231,30;"zł";"";
1400000;"MAZOWIECKIE";"4 kwartał";"ogółem";"2016";5403,01;"zł";"";
1400000;"MAZOWIECKIE";"4 kwartał";"ogółem";"2017";5800,40;"zł";"";
1400000;"MAZOWIECKIE";"4 kwartał";"ogółem";"2018";6131,29;"zł";"";
1400000;"MAZOWIECKIE";"4 kwartał";"ogółem";"2019";6392,72;"zł";"";
1400000;"MAZOWIECKIE";"4 kwartał";"ogółem";"2020";6679,59;"zł";"";
1400000;"MAZOWIECKIE";"4 kwartał";"ogółem";"2021";7378,00;"zł";"";
1400000;"MAZOWIECKIE";"4 kwartał";"ogółem";"2022";;"zł";"n";
1600000;"OPOLSKIE";"1 kwartał";"ogółem";"2010";3301,92;"zł";"";
