"Kod";"Nazwa";"Okresy";"Transakcje rynkowe";"Powierzchnia użytkowa lokali mieszkalnych";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0607000;"Powiat kraśnicki";"3 kwartał";"ogółem";"ogółem";"2017";2284;"zł";"";
0607000;"Powiat kraśnicki";"3 kwartał";"ogółem";"ogółem";"2018";2679;"zł";"";
0607000;"Powiat kraśnicki";"3 kwartał";"ogółem";"ogółem";"2019";3118;"zł";"";
0607000;"Powiat kraśnicki";"3 kwartał";"ogółem";"ogółem";"2020";3320;"zł";"";
0607000;"Powiat kraśnicki";"3 kwartał";"ogółem";"ogółem";"2021";;"zł";"n";
0607000;"Powiat kraśnicki";"3 kwartał";"ogółem";"ogółem";"2022";;"zł";"n";
0607000;"Powiat kraśnicki";"4 kwartał";"ogółem";"ogółem";"2010";2839;"zł";"";
0607000;"Powiat kraśnicki";"4 kwartał";"ogółem";"ogółem";"2011";2536;"zł";"";
0607000;"Powiat kraśnicki";"4 kwartał";"ogółem";"ogółem";"2012";2352;"zł";"";
0607000;"Powiat kraśnicki";"4 kwartał";"ogółem";"ogółem";"2013";2488;"zł";"";
0607000;"Powiat kraśnicki";"4 kwartał";"ogółem";"ogółem";"2014";2209;"zł";"";
0607000;"Powiat kraśnicki";"4 kwartał";"ogółem";"ogółem";"2015";2498;"zł";"";
0607000;"Powiat kraśnicki";"4 kwartał";"ogółem";"ogółem";"2016";2325;"zł";"";
0607000;"Powiat kraśnicki";"4 kwartał";"ogółem";"ogółem";"2017";2396;"zł";"";
0607000;"Powiat kraśnicki";"4 kwartał";"ogółem";"ogółem";"2018";2444;"zł";"";
0607000;"Powiat kraśnicki";"4 kwartał";"ogółem";"ogółem";"2019";2745;"zł";"";
0607000;"Powiat kraśnicki";"4 kwartał";"ogółem";"ogółem";"2020";3508;"zł";"";
0607000;"Powiat kraśnicki";"4 kwartał";"ogółem";"ogółem";"2021";;"zł";"n";
0607000;"Powiat kraśnicki";"4 kwartał";"ogółem";"ogółem";"2022";;"zł";"n";
0608000;"Powiat lubartowski";"1 kwartał";"ogółem";"ogółem";"2010";2546;"zł";"";
0608000;"Powiat lubartowski";"1 kwartał";"ogółem";"ogółem";"2011";3318;"zł";"";
0608000;"Powiat lubartowski";"1 kwartał";"ogółem";"ogółem";"2012";3332;"zł";"";
0608000;"Powiat lubartowski";"1 kwartał";"ogółem";"ogółem";"2013";2956;"zł";"";
0608000;"Powiat lubartowski";"1 kwartał";"ogółem";"ogółem";"2014";3164;"zł";"";
0608000;"Powiat lubartowski";"1 kwartał";"ogółem";"ogółem";"2015";3434;"zł";"";
0608000;"Powiat lubartowski";"1 kwartał";"ogółem";"ogółem";"2016";3458;"zł";"";
0608000;"Powiat lubartowski";"1 kwartał";"ogółem";"ogółem";"2017";3233;"zł";"";
0608000;"Powiat lubartowski";"1 kwartał";"ogółem";"ogółem";"2018";2780;"zł";"";
